04/20 02:19:32 PM | Lr:0.01 epoch: 0
04/20 02:20:00 PM | Epoch: [0][   0/1501]	Time 27.936 (27.936)	Data 19.319 (19.319)	Loss 0.0038 (0.0038)
04/20 02:47:24 PM | Lr:0.01 epoch: 1
04/20 02:47:28 PM | Epoch: [1][   0/1501]	Time  4.255 ( 4.255)	Data  2.774 ( 2.774)	Loss -1.6736 (-1.6736)
04/20 03:08:48 PM | Lr:0.01 epoch: 2
04/20 03:08:52 PM | Epoch: [2][   0/1501]	Time  4.776 ( 4.776)	Data  3.451 ( 3.451)	Loss -1.5547 (-1.5547)
04/20 03:31:25 PM | Lr:0.01 epoch: 3
04/20 03:31:28 PM | Epoch: [3][   0/1501]	Time  3.833 ( 3.833)	Data  2.760 ( 2.760)	Loss -1.6178 (-1.6178)
04/20 03:52:50 PM | Lr:0.01 epoch: 4
04/20 03:52:55 PM | Epoch: [4][   0/1501]	Time  5.079 ( 5.079)	Data  3.471 ( 3.471)	Loss -1.4069 (-1.4069)
04/20 04:13:27 PM | Lr:0.01 epoch: 5
04/20 04:13:32 PM | Epoch: [5][   0/1501]	Time  5.449 ( 5.449)	Data  3.640 ( 3.640)	Loss -1.3506 (-1.3506)
04/20 04:21:40 PM | Lr:0.01 epoch: 5
04/20 04:21:51 PM | Epoch: [5][   0/1501]	Time  9.524 ( 9.524)	Data  6.575 ( 6.575)	Loss -1.4194 (-1.4194)
04/20 04:35:34 PM | Lr:0.01 epoch: 6
04/20 04:35:35 PM | Epoch: [6][   0/1501]	Time  1.601 ( 1.601)	Data  1.382 ( 1.382)	Loss -1.5262 (-1.5262)
04/20 04:42:36 PM | Lr:0.01 epoch: 7
04/20 04:42:38 PM | Epoch: [7][   0/1501]	Time  1.809 ( 1.809)	Data  1.590 ( 1.590)	Loss -1.5526 (-1.5526)
04/20 04:49:38 PM | Lr:0.01 epoch: 8
04/20 04:49:40 PM | Epoch: [8][   0/1501]	Time  1.719 ( 1.719)	Data  1.502 ( 1.502)	Loss -1.5560 (-1.5560)
04/20 04:56:41 PM | Lr:0.01 epoch: 9
04/20 04:56:42 PM | Epoch: [9][   0/1501]	Time  1.727 ( 1.727)	Data  1.524 ( 1.524)	Loss -1.6034 (-1.6034)
04/20 05:03:43 PM | Lr:0.01 epoch: 10
04/20 05:03:45 PM | Epoch: [10][   0/1501]	Time  1.768 ( 1.768)	Data  1.553 ( 1.553)	Loss -1.4601 (-1.4601)
04/20 05:10:46 PM | Lr:0.01 epoch: 11
04/20 05:10:47 PM | Epoch: [11][   0/1501]	Time  1.742 ( 1.742)	Data  1.538 ( 1.538)	Loss -1.3844 (-1.3844)
04/20 05:17:48 PM | Lr:0.01 epoch: 12
04/20 05:17:50 PM | Epoch: [12][   0/1501]	Time  1.810 ( 1.810)	Data  1.598 ( 1.598)	Loss -1.5133 (-1.5133)
04/20 05:24:51 PM | Lr:0.01 epoch: 13
04/20 05:24:52 PM | Epoch: [13][   0/1501]	Time  1.720 ( 1.720)	Data  1.515 ( 1.515)	Loss -1.5702 (-1.5702)
04/20 05:31:53 PM | Lr:0.01 epoch: 14
04/20 05:31:55 PM | Epoch: [14][   0/1501]	Time  1.783 ( 1.783)	Data  1.579 ( 1.579)	Loss -1.5528 (-1.5528)
04/20 05:38:55 PM | Lr:0.01 epoch: 15
04/20 05:38:57 PM | Epoch: [15][   0/1501]	Time  1.669 ( 1.669)	Data  1.466 ( 1.466)	Loss -1.5262 (-1.5262)
04/20 05:45:58 PM | Lr:0.01 epoch: 16
04/20 05:46:00 PM | Epoch: [16][   0/1501]	Time  1.746 ( 1.746)	Data  1.528 ( 1.528)	Loss -1.3790 (-1.3790)
04/20 05:53:00 PM | Lr:0.01 epoch: 17
