05/05 07:08:48 PM | Epoch: 0
05/05 07:13:26 PM | Epoch: [0][  0/376]	Time 278.347 (278.347)	Data 276.510 (276.510)	Loss 0.3470 (0.3470)
05/05 07:16:50 PM | Epoch: 1
05/05 07:16:52 PM | Epoch: [1][  0/376]	Time  1.551 ( 1.551)	Data  1.332 ( 1.332)	Loss 0.0023 (0.0023)
05/05 07:20:17 PM | Epoch: 2
05/05 07:20:18 PM | Epoch: [2][  0/376]	Time  1.537 ( 1.537)	Data  1.320 ( 1.320)	Loss 0.0017 (0.0017)
05/05 07:23:43 PM | Epoch: 3
05/05 07:23:46 PM | Epoch: [3][  0/376]	Time  2.550 ( 2.550)	Data  2.333 ( 2.333)	Loss 0.0017 (0.0017)
05/05 07:27:11 PM | Epoch: 4
05/05 07:27:13 PM | Epoch: [4][  0/376]	Time  2.527 ( 2.527)	Data  2.310 ( 2.310)	Loss 0.0017 (0.0017)
05/05 07:30:39 PM | Epoch: 5
05/05 07:30:41 PM | Epoch: [5][  0/376]	Time  2.122 ( 2.122)	Data  1.900 ( 1.900)	Loss 0.0017 (0.0017)
05/05 07:34:08 PM | Epoch: 6
05/05 07:34:11 PM | Epoch: [6][  0/376]	Time  2.633 ( 2.633)	Data  2.409 ( 2.409)	Loss 0.0014 (0.0014)
05/05 07:37:37 PM | Epoch: 7
05/05 07:37:39 PM | Epoch: [7][  0/376]	Time  2.571 ( 2.571)	Data  2.351 ( 2.351)	Loss 0.0013 (0.0013)
05/05 07:41:07 PM | Epoch: 8
05/05 07:41:09 PM | Epoch: [8][  0/376]	Time  2.561 ( 2.561)	Data  2.341 ( 2.341)	Loss 0.0013 (0.0013)
05/05 07:44:38 PM | Epoch: 9
05/05 07:44:40 PM | Epoch: [9][  0/376]	Time  1.643 ( 1.643)	Data  1.421 ( 1.421)	Loss 0.0012 (0.0012)
05/05 07:48:09 PM | Epoch: 10
05/05 07:48:11 PM | Epoch: [10][  0/376]	Time  1.671 ( 1.671)	Data  1.452 ( 1.452)	Loss 0.0011 (0.0011)
05/05 07:51:40 PM | Epoch: 11
05/05 07:51:43 PM | Epoch: [11][  0/376]	Time  2.671 ( 2.671)	Data  2.444 ( 2.444)	Loss 0.0010 (0.0010)
05/05 07:55:13 PM | Epoch: 12
05/05 07:55:16 PM | Epoch: [12][  0/376]	Time  2.649 ( 2.649)	Data  2.415 ( 2.415)	Loss 0.0009 (0.0009)
05/05 07:58:47 PM | Epoch: 13
05/05 07:58:49 PM | Epoch: [13][  0/376]	Time  2.500 ( 2.500)	Data  2.277 ( 2.277)	Loss 0.0008 (0.0008)
05/05 08:02:21 PM | Epoch: 14
05/05 08:02:23 PM | Epoch: [14][  0/376]	Time  2.543 ( 2.543)	Data  2.320 ( 2.320)	Loss 0.0008 (0.0008)
05/05 08:05:55 PM | Epoch: 15
05/05 08:05:57 PM | Epoch: [15][  0/376]	Time  2.322 ( 2.322)	Data  2.100 ( 2.100)	Loss 0.0007 (0.0007)
05/05 08:09:28 PM | Epoch: 16
05/05 08:09:30 PM | Epoch: [16][  0/376]	Time  2.007 ( 2.007)	Data  1.785 ( 1.785)	Loss 0.0007 (0.0007)
05/05 08:13:03 PM | Epoch: 17
05/05 08:13:04 PM | Epoch: [17][  0/376]	Time  1.563 ( 1.563)	Data  1.339 ( 1.339)	Loss 0.0006 (0.0006)
05/05 08:16:36 PM | Epoch: 18
05/05 08:16:39 PM | Epoch: [18][  0/376]	Time  2.646 ( 2.646)	Data  2.421 ( 2.421)	Loss 0.0006 (0.0006)
05/05 08:20:11 PM | Epoch: 19
05/05 08:20:13 PM | Epoch: [19][  0/376]	Time  2.557 ( 2.557)	Data  2.332 ( 2.332)	Loss 0.0005 (0.0005)
05/05 08:23:45 PM | Epoch: 20
05/05 08:23:48 PM | Epoch: [20][  0/376]	Time  2.603 ( 2.603)	Data  2.379 ( 2.379)	Loss 0.0005 (0.0005)
05/05 08:27:21 PM | Epoch: 21
05/05 08:27:23 PM | Epoch: [21][  0/376]	Time  1.615 ( 1.615)	Data  1.391 ( 1.391)	Loss 0.0005 (0.0005)
05/05 08:30:55 PM | Epoch: 22
05/05 08:30:57 PM | Epoch: [22][  0/376]	Time  2.558 ( 2.558)	Data  2.329 ( 2.329)	Loss 0.0004 (0.0004)
05/05 08:34:29 PM | Epoch: 23
05/05 08:34:32 PM | Epoch: [23][  0/376]	Time  2.572 ( 2.572)	Data  2.344 ( 2.344)	Loss 0.0004 (0.0004)
05/05 08:38:04 PM | Epoch: 24
05/05 08:38:07 PM | Epoch: [24][  0/376]	Time  2.597 ( 2.597)	Data  2.372 ( 2.372)	Loss 0.0004 (0.0004)
05/05 08:41:39 PM | Epoch: 25
05/05 08:41:41 PM | Epoch: [25][  0/376]	Time  2.131 ( 2.131)	Data  1.906 ( 1.906)	Loss 0.0003 (0.0003)
05/07 09:47:22 AM | Epoch: 0
05/07 10:15:40 AM | Epoch: [0][  0/368]	Time 1697.579 (1697.579)	Data 1695.543 (1695.543)	Loss 0.3358 (0.3358)
05/07 10:19:04 AM | Epoch: [0][7/8]	Time  0.181 ( 0.567)	Data  0.013 ( 0.377)	Val Loss 0.0017 (0.0018)
05/07 10:19:04 AM | Epoch: 1
05/07 10:19:06 AM | Epoch: [1][  0/368]	Time  1.909 ( 1.909)	Data  1.693 ( 1.693)	Loss 0.0018 (0.0018)
